stock_date,product_id,warehouse_id,quantity_on_hand,reorder_point,max_stock,unit_cost_eur,avg_daily_demand
2025-10-01,PRD-0306,WH-007,146,38,291,1343.5,5
2025-10-01,PRD-0427,WH-006,55,6,45,6184.21,1
2025-10-01,PRD-0427,WH-003,286,57,432,6184.21,10
2025-10-01,PRD-0427,WH-009,169,43,325,6184.21,12
2025-10-01,PRD-0427,WH-001,354,65,489,6184.21,24
2025-10-01,PRD-0777,WH-010,398,88,660,238.93,19
2025-10-01,PRD-0777,WH-005,36,15,118,238.93,4
2025-10-01,PRD-0777,WH-004,90,20,151,238.93,5
2025-10-01,PRD-0777,WH-001,516,94,706,238.93,27
2025-10-01,PRD-0457,WH-002,264,62,469,134.0,24
2025-10-01,PRD-0457,WH-012,257,43,325,134.0,17
2025-10-01,PRD-0457,WH-010,198,48,366,134.0,18
2025-10-01,PRD-0457,WH-001,379,85,637,134.0,14
2025-10-01,PRD-0479,WH-009,52,6,51,51.78,1
2025-10-01,PRD-0479,WH-003,144,26,201,51.78,6
2025-10-01,PRD-0479,WH-002,406,79,592,51.78,19
2025-10-01,PRD-0479,WH-010,235,45,339,51.78,6
2025-10-01,PRD-0743,WH-007,104,22,168,210.49,4
2025-10-01,PRD-0743,WH-005,289,55,412,210.49,19
2025-10-01,PRD-0743,WH-001,35,6,46,210.49,2
2025-10-01,PRD-0743,WH-012,502,97,733,210.49,37
2025-10-01,PRD-0480,WH-001,119,27,202,107.16,5
2025-10-01,PRD-0480,WH-002,444,84,630,107.16,28
2025-10-01,PRD-0480,WH-009,415,80,606,107.16,14
2025-10-01,PRD-0480,WH-011,457,85,637,107.16,25
2025-10-01,PRD-0496,WH-007,157,24,184,4.57,3
2025-10-01,PRD-0496,WH-009,497,92,691,4.57,18
2025-10-01,PRD-0496,WH-002,356,62,465,4.57,23
2025-10-01,PRD-0496,WH-010,245,44,331,4.57,15
2025-10-01,PRD-0653,WH-012,305,56,424,55.68,14
2025-10-01,PRD-0653,WH-011,194,45,339,55.68,9
2025-10-01,PRD-0653,WH-002,309,71,535,55.68,21
2025-10-01,PRD-0653,WH-007,173,31,235,55.68,10
2025-10-01,PRD-0262,WH-008,400,83,622,1400.01,21
2025-10-01,PRD-0262,WH-006,289,53,397,1400.01,14
2025-10-01,PRD-0262,WH-009,128,19,148,1400.01,3
2025-10-01,PRD-0262,WH-011,4,4,33,1400.01,1
2025-10-01,PRD-0283,WH-011,257,50,376,639.73,19
2025-10-01,PRD-0283,WH-009,100,22,166,639.73,7
2025-10-01,PRD-0283,WH-006,451,93,700,639.73,10
2025-10-01,PRD-0283,WH-012,137,22,169,639.73,2
2025-10-01,PRD-0035,WH-010,366,76,576,234.1,20
2025-10-01,PRD-0035,WH-006,217,52,396,234.1,14
2025-10-01,PRD-0035,WH-009,297,62,469,234.1,6
2025-10-01,PRD-0035,WH-005,426,85,639,234.1,16
2025-10-01,PRD-0669,WH-012,394,82,616,616.57,18
2025-10-01,PRD-0669,WH-007,275,46,348,616.57,17
2025-10-01,PRD-0669,WH-009,153,33,249,616.57,11
2025-10-01,PRD-0669,WH-010,294,53,402,616.57,8
2025-10-01,PRD-0738,WH-008,274,63,478,954.18,12
2025-10-01,PRD-0738,WH-002,214,33,249,954.18,3
2025-10-01,PRD-0738,WH-006,259,42,315,954.18,12
2025-10-01,PRD-0738,WH-001,244,43,325,954.18,16
2025-10-01,PRD-0371,WH-002,321,67,502,7108.8,16
2025-10-01,PRD-0371,WH-004,195,31,238,7108.8,9
2025-10-01,PRD-0371,WH-011,172,25,193,7108.8,3
2025-10-01,PRD-0371,WH-006,505,98,741,7108.8,26
2025-10-01,PRD-0313,WH-012,80,6,49,1360.97,1
2025-10-01,PRD-0313,WH-006,105,13,99,1360.97,5
2025-10-01,PRD-0313,WH-011,198,33,249,1360.97,11
2025-10-01,PRD-0313,WH-002,273,56,426,1360.97,10
2025-10-01,PRD-0426,WH-012,129,33,252,2114.14,4
2025-10-01,PRD-0426,WH-001,254,47,358,2114.14,11
2025-10-01,PRD-0426,WH-002,140,25,193,2114.14,2
2025-10-01,PRD-0426,WH-011,361,62,466,2114.14,17
2025-10-01,PRD-0565,WH-003,348,62,468,99.27,10
2025-10-01,PRD-0565,WH-007,290,56,421,99.27,19
2025-10-01,PRD-0565,WH-012,307,64,483,99.27,9
2025-10-01,PRD-0565,WH-009,88,7,57,99.27,1
2025-10-01,PRD-0544,WH-007,259,51,388,53.05,7
2025-10-01,PRD-0544,WH-012,429,78,585,53.05,23
2025-10-01,PRD-0544,WH-010,180,27,204,53.05,7
2025-10-01,PRD-0544,WH-008,234,39,297,53.05,10
2025-10-01,PRD-0354,WH-006,386,85,639,4436.17,27
2025-10-01,PRD-0354,WH-001,213,36,271,4436.17,6
2025-10-01,PRD-0354,WH-010,162,33,250,4436.17,9
2025-10-01,PRD-0354,WH-012,43,6,48,4436.17,2
2025-10-01,PRD-0576,WH-008,82,8,60,77.85,1
2025-10-01,PRD-0576,WH-012,180,38,286,77.85,14
2025-10-01,PRD-0576,WH-007,278,62,469,77.85,8
2025-10-01,PRD-0576,WH-002,338,60,456,77.85,13
2025-10-01,PRD-0780,WH-007,318,70,529,1038.94,21
2025-10-01,PRD-0780,WH-006,200,32,246,1038.94,8
2025-10-01,PRD-0780,WH-001,239,49,372,1038.94,13
2025-10-01,PRD-0780,WH-004,332,66,501,1038.94,12
2025-10-01,PRD-0508,WH-004,433,90,681,10.4,11
2025-10-01,PRD-0508,WH-005,210,32,241,10.4,9
2025-10-01,PRD-0508,WH-007,529,97,729,10.4,34
2025-10-01,PRD-0508,WH-012,286,48,364,10.4,11
2025-10-01,PRD-0364,WH-001,195,41,307,2903.88,13
2025-10-01,PRD-0364,WH-002,225,45,339,2903.88,14
2025-10-01,PRD-0364,WH-007,139,29,220,2903.88,2
2025-10-01,PRD-0364,WH-006,468,95,718,2903.88,30
2025-10-01,PRD-0246,WH-011,293,60,450,2643.86,9
2025-10-01,PRD-0246,WH-012,370,72,546,2643.86,12
2025-10-01,PRD-0246,WH-004,316,72,543,2643.86,10
2025-10-01,PRD-0246,WH-006,462,84,636,2643.86,15
2025-10-01,PRD-0024,WH-005,405,78,588,301.48,29
2025-10-01,PRD-0024,WH-009,202,33,250,301.48,5
2025-10-01,PRD-0024,WH-010,441,80,603,301.48,22
2025-10-01,PRD-0024,WH-007,101,23,172,301.48,7
2025-10-01,PRD-0231,WH-001,315,71,532,2678.76,12
2025-10-01,PRD-0231,WH-012,215,35,264,2678.76,12
2025-10-01,PRD-0231,WH-005,43,5,39,2678.76,1
2025-10-01,PRD-0231,WH-006,86,22,166,2678.76,2
2025-10-01,PRD-0289,WH-011,454,89,673,1489.93,11
2025-10-01,PRD-0289,WH-004,421,83,625,1489.93,27
2025-10-01,PRD-0289,WH-003,150,22,166,1489.93,3
2025-10-01,PRD-0289,WH-002,469,95,714,1489.93,17
2025-10-01,PRD-0155,WH-012,459,93,699,177.28,29
2025-10-01,PRD-0155,WH-011,428,91,682,177.28,35
2025-10-01,PRD-0155,WH-001,138,19,145,177.28,4
2025-10-01,PRD-0155,WH-003,57,7,54,177.28,1
2025-10-01,PRD-0308,WH-010,85,24,180,956.85,5
2025-10-01,PRD-0308,WH-001,258,44,331,956.85,9
2025-10-01,PRD-0308,WH-002,417,75,565,956.85,27
2025-10-01,PRD-0308,WH-007,371,69,520,956.85,14
2025-10-01,PRD-0568,WH-011,485,97,729,8.15,18
2025-10-01,PRD-0568,WH-007,218,41,309,8.15,15
2025-10-01,PRD-0568,WH-008,299,65,489,8.15,14
2025-10-01,PRD-0568,WH-012,64,14,109,8.15,4
2025-10-01,PRD-0110,WH-011,229,42,315,212.29,7
2025-10-01,PRD-0110,WH-005,348,75,565,212.29,10
2025-10-01,PRD-0110,WH-008,293,65,490,212.29,18
2025-10-01,PRD-0110,WH-012,297,57,433,212.29,11
2025-10-01,PRD-0798,WH-004,107,25,190,469.55,4
2025-10-01,PRD-0798,WH-009,432,90,675,469.55,27
2025-10-01,PRD-0798,WH-001,270,63,477,469.55,20
2025-10-01,PRD-0798,WH-011,53,19,145,469.55,2
2025-10-01,PRD-0066,WH-012,128,33,253,240.55,10
2025-10-01,PRD-0066,WH-010,97,12,93,240.55,3
2025-10-01,PRD-0066,WH-005,181,33,247,240.55,10
2025-10-01,PRD-0066,WH-001,288,64,486,240.55,16
2025-10-01,PRD-0255,WH-003,75,7,57,2248.39,2
2025-10-01,PRD-0255,WH-007,301,60,451,2248.39,11
2025-10-01,PRD-0255,WH-005,300,51,382,2248.39,15
2025-10-01,PRD-0255,WH-004,492,92,691,2248.39,15
2025-10-01,PRD-0623,WH-011,450,98,739,342.67,16
2025-10-01,PRD-0623,WH-008,232,54,405,342.67,9
2025-10-01,PRD-0623,WH-004,285,53,400,342.67,6
2025-10-01,PRD-0623,WH-005,288,50,379,342.67,8
2025-10-01,PRD-0394,WH-007,35,12,94,4439.12,2
2025-10-01,PRD-0394,WH-011,419,78,588,4439.12,29
2025-10-01,PRD-0394,WH-008,362,69,522,4439.12,13
2025-10-01,PRD-0394,WH-005,508,98,741,4439.12,17
2025-10-01,PRD-0349,WH-010,481,90,675,7445.23,10
2025-10-01,PRD-0349,WH-003,104,18,139,7445.23,5
2025-10-01,PRD-0349,WH-004,488,88,666,7445.23,24
2025-10-01,PRD-0349,WH-001,186,35,268,7445.23,10
2025-10-01,PRD-0054,WH-012,137,20,153,155.25,5
2025-10-01,PRD-0054,WH-006,53,9,67,155.25,1
2025-10-01,PRD-0054,WH-010,6,7,54,155.25,2
2025-10-01,PRD-0054,WH-008,546,99,747,155.25,28
2025-10-01,PRD-0417,WH-009,59,19,142,3767.16,4
2025-10-01,PRD-0417,WH-005,60,16,123,3767.16,6
2025-10-01,PRD-0417,WH-008,280,53,397,3767.16,15
2025-10-01,PRD-0417,WH-011,89,11,88,3767.16,3
2025-10-01,PRD-0315,WH-010,234,37,279,2821.7,10
2025-10-01,PRD-0315,WH-005,320,56,423,2821.7,9
2025-10-01,PRD-0315,WH-012,410,84,634,2821.7,14
2025-10-01,PRD-0315,WH-007,258,42,315,2821.7,13
2025-10-01,PRD-0312,WH-005,341,60,450,528.93,12
2025-10-01,PRD-0312,WH-009,373,69,520,528.93,12
2025-10-01,PRD-0312,WH-010,152,25,192,528.93,3
2025-10-01,PRD-0312,WH-007,312,54,405,528.93,12
2025-10-01,PRD-0456,WH-003,370,70,528,56.51,10
2025-10-01,PRD-0456,WH-007,166,32,243,56.51,8
2025-10-01,PRD-0456,WH-011,137,25,187,56.51,5
2025-10-01,PRD-0456,WH-012,466,85,639,56.51,23
2025-10-01,PRD-0719,WH-009,42,11,85,264.6,1
2025-10-01,PRD-0719,WH-005,356,64,484,264.6,20
2025-10-01,PRD-0719,WH-002,432,92,696,264.6,26
2025-10-01,PRD-0719,WH-011,310,67,502,264.6,26
2025-10-01,PRD-0330,WH-005,196,43,327,682.07,8
2025-10-01,PRD-0330,WH-003,254,53,402,682.07,11
2025-10-01,PRD-0330,WH-006,272,56,423,682.07,19
2025-10-01,PRD-0330,WH-012,349,79,594,682.07,24
2025-10-01,PRD-0218,WH-002,268,50,379,1073.47,11
2025-10-01,PRD-0218,WH-001,431,89,670,1073.47,35
2025-10-01,PRD-0218,WH-008,324,63,474,1073.47,19
2025-10-01,PRD-0218,WH-009,337,69,523,1073.47,20
2025-10-01,PRD-0132,WH-008,182,39,297,308.06,9
2025-10-01,PRD-0132,WH-011,347,63,475,308.06,12
2025-10-01,PRD-0132,WH-010,354,64,484,308.06,20
2025-10-01,PRD-0132,WH-007,402,74,558,308.06,22
2025-10-01,PRD-0342,WH-011,294,56,420,1732.39,18
2025-10-01,PRD-0342,WH-003,292,53,400,1732.39,12
2025-10-01,PRD-0342,WH-006,402,80,604,1732.39,11
2025-10-01,PRD-0342,WH-010,249,59,445,1732.39,15
2025-10-01,PRD-0729,WH-002,169,26,201,112.33,5
2025-10-01,PRD-0729,WH-010,290,49,370,112.33,14
2025-10-01,PRD-0729,WH-005,133,23,175,112.33,5
2025-10-01,PRD-0729,WH-008,345,72,540,112.33,23
2025-10-01,PRD-0607,WH-007,499,95,718,470.65,34
2025-10-01,PRD-0607,WH-012,266,57,429,470.65,16
2025-10-01,PRD-0607,WH-006,393,81,612,470.65,11
2025-10-01,PRD-0607,WH-010,215,34,259,470.65,10
2025-10-01,PRD-0144,WH-003,101,27,204,260.52,10
2025-10-01,PRD-0144,WH-011,78,16,123,260.52,6
2025-10-01,PRD-0144,WH-006,183,32,244,260.52,4
2025-10-01,PRD-0144,WH-002,286,67,502,260.52,21
2025-10-01,PRD-0182,WH-004,486,96,721,3071.08,14
2025-10-01,PRD-0182,WH-009,359,66,495,3071.08,19
2025-10-01,PRD-0182,WH-002,23,5,39,3071.08,1
2025-10-01,PRD-0182,WH-008,69,23,177,3071.08,2
2025-10-01,PRD-0257,WH-008,259,46,346,2082.02,13
2025-10-01,PRD-0257,WH-011,217,36,276,2082.02,13
2025-10-01,PRD-0257,WH-004,244,41,312,2082.02,10
2025-10-01,PRD-0257,WH-003,494,92,694,2082.02,34
2025-10-01,PRD-0115,WH-010,517,95,718,208.5,15
2025-10-01,PRD-0115,WH-005,495,93,702,208.5,24
2025-10-01,PRD-0115,WH-003,334,68,511,208.5,7
2025-10-01,PRD-0115,WH-012,175,33,253,208.5,4
2025-10-01,PRD-0158,WH-009,447,81,612,167.85,18
2025-10-01,PRD-0158,WH-010,124,22,168,167.85,7
2025-10-01,PRD-0158,WH-011,151,39,292,167.85,6
2025-10-01,PRD-0158,WH-008,393,82,621,167.85,19
2025-10-01,PRD-0460,WH-009,370,70,526,12.5,12
2025-10-01,PRD-0460,WH-007,175,43,325,12.5,13
2025-10-01,PRD-0460,WH-002,213,45,343,12.5,15
2025-10-01,PRD-0460,WH-012,451,82,618,12.5,10
2025-10-01,PRD-0277,WH-003,461,97,729,1559.22,12
2025-10-01,PRD-0277,WH-011,245,49,367,1559.22,10
2025-10-01,PRD-0277,WH-010,307,60,454,1559.22,23
2025-10-01,PRD-0277,WH-008,26,13,99,1559.22,3
2025-10-01,PRD-0493,WH-008,240,54,409,122.9,8
2025-10-01,PRD-0493,WH-011,72,23,175,122.9,7
2025-10-01,PRD-0493,WH-005,153,27,205,122.9,8
2025-10-01,PRD-0493,WH-012,395,70,526,122.9,23
2025-10-01,PRD-0781,WH-002,502,92,694,667.89,30
2025-10-01,PRD-0781,WH-003,426,79,595,667.89,20
2025-10-01,PRD-0781,WH-011,173,32,246,667.89,8
2025-10-01,PRD-0781,WH-001,111,24,184,667.89,3
2025-10-01,PRD-0025,WH-011,82,7,57,254.2,1
2025-10-01,PRD-0025,WH-001,248,58,436,254.2,18
2025-10-01,PRD-0025,WH-005,467,97,727,254.2,17
2025-10-01,PRD-0025,WH-002,0,6,49,254.2,1
2025-10-01,PRD-0651,WH-007,259,55,414,519.36,18
2025-10-01,PRD-0651,WH-003,481,88,666,519.36,31
2025-10-01,PRD-0651,WH-008,312,68,511,519.36,15
2025-10-01,PRD-0651,WH-006,180,27,208,519.36,5
2025-10-01,PRD-0611,WH-005,92,23,178,49.59,7
2025-10-01,PRD-0611,WH-008,182,35,265,49.59,5
2025-10-01,PRD-0611,WH-001,162,38,286,49.59,5
2025-10-01,PRD-0611,WH-003,392,83,622,49.59,31
2025-10-01,PRD-0034,WH-003,115,17,133,145.63,6
2025-10-01,PRD-0034,WH-005,143,21,159,145.63,7
2025-10-01,PRD-0034,WH-010,217,50,378,145.63,8
2025-10-01,PRD-0034,WH-008,454,99,745,145.63,36
2025-10-01,PRD-0276,WH-007,271,54,405,697.77,20
2025-10-01,PRD-0276,WH-008,435,86,651,697.77,30
2025-10-01,PRD-0276,WH-001,195,29,219,697.77,8
2025-10-01,PRD-0276,WH-009,117,30,226,697.77,11
2025-10-01,PRD-0397,WH-001,121,15,114,4934.85,1
2025-10-01,PRD-0397,WH-010,336,58,435,4934.85,21
2025-10-01,PRD-0397,WH-012,174,35,265,4934.85,9
2025-10-01,PRD-0397,WH-009,292,53,402,4934.85,16
2025-10-01,PRD-0646,WH-004,135,27,207,302.56,4
2025-10-01,PRD-0646,WH-005,231,36,271,302.56,7
2025-10-01,PRD-0646,WH-011,45,16,124,302.56,3
2025-10-01,PRD-0646,WH-003,460,95,714,302.56,27
2025-10-01,PRD-0004,WH-005,300,67,505,126.39,17
2025-10-01,PRD-0004,WH-002,328,62,465,126.39,21
2025-10-01,PRD-0004,WH-008,91,25,190,126.39,5
