product_id,product_name,category,sub_category,brand,unit_cost_eur,list_price_eur
PRD-0031,LONGi Bifacial 214,Panneaux Solaires,Bifacial,LONGi,254.23,329.68
PRD-0032,Canadian Solar Polycristallin 680,Panneaux Solaires,Polycristallin,Canadian Solar,176.57,221.84
PRD-0033,LONGi Monocristallin 878,Panneaux Solaires,Monocristallin,LONGi,272.89,369.57
PRD-0034,Jinko Bifacial 662,Panneaux Solaires,Bifacial,Jinko,145.63,188.52
PRD-0035,Canadian Solar Monocristallin 316,Panneaux Solaires,Monocristallin,Canadian Solar,234.1,308.3
PRD-0036,Jinko Bifacial 787,Panneaux Solaires,Bifacial,Jinko,283.86,363.88
PRD-0037,Canadian Solar Bifacial 223,Panneaux Solaires,Bifacial,Canadian Solar,216.21,281.43
PRD-0038,Jinko Monocristallin 667,Panneaux Solaires,Monocristallin,Jinko,138.4,169.21
PRD-0039,JA Solar Monocristallin 746,Panneaux Solaires,Monocristallin,JA Solar,175.64,216.07
PRD-0040,Jinko Monocristallin 438,Panneaux Solaires,Monocristallin,Jinko,139.05,170.22
PRD-0041,JA Solar Monocristallin 319,Panneaux Solaires,Monocristallin,JA Solar,166.74,221.4
PRD-0042,Jinko Bifacial 690,Panneaux Solaires,Bifacial,Jinko,268.56,367.01
PRD-0043,Jinko Polycristallin 294,Panneaux Solaires,Polycristallin,Jinko,284.9,385.39
PRD-0044,LONGi Monocristallin 520,Panneaux Solaires,Monocristallin,LONGi,272.79,347.69
PRD-0045,LONGi Polycristallin 200,Panneaux Solaires,Polycristallin,LONGi,254.0,352.01
PRD-0046,Trina Monocristallin 211,Panneaux Solaires,Monocristallin,Trina,272.64,368.46
PRD-0047,Jinko Monocristallin 532,Panneaux Solaires,Monocristallin,Jinko,160.5,207.06
PRD-0048,Canadian Solar Monocristallin 177,Panneaux Solaires,Monocristallin,Canadian Solar,211.55,288.79
PRD-0049,JA Solar Polycristallin 653,Panneaux Solaires,Polycristallin,JA Solar,135.39,179.37
PRD-0050,LONGi Monocristallin 270,Panneaux Solaires,Monocristallin,LONGi,314.57,427.91
PRD-0051,Trina Polycristallin 160,Panneaux Solaires,Polycristallin,Trina,215.96,294.41
PRD-0052,Trina Monocristallin 902,Panneaux Solaires,Monocristallin,Trina,117.65,150.65
PRD-0053,Canadian Solar Polycristallin 902,Panneaux Solaires,Polycristallin,Canadian Solar,200.55,276.9
PRD-0054,Trina Bifacial 159,Panneaux Solaires,Bifacial,Trina,155.25,196.44
PRD-0055,JA Solar Bifacial 151,Panneaux Solaires,Bifacial,JA Solar,132.72,168.29
PRD-0056,Trina Bifacial 261,Panneaux Solaires,Bifacial,Trina,221.05,300.86
PRD-0057,JA Solar Monocristallin 709,Panneaux Solaires,Monocristallin,JA Solar,139.47,174.03
PRD-0058,Jinko Monocristallin 683,Panneaux Solaires,Monocristallin,Jinko,196.8,271.13
PRD-0059,JA Solar Monocristallin 529,Panneaux Solaires,Monocristallin,JA Solar,248.92,328.36
PRD-0060,JA Solar Bifacial 367,Panneaux Solaires,Bifacial,JA Solar,251.94,319.57
PRD-0061,Canadian Solar Monocristallin 787,Panneaux Solaires,Monocristallin,Canadian Solar,172.95,221.61
PRD-0062,Canadian Solar Bifacial 174,Panneaux Solaires,Bifacial,Canadian Solar,208.8,287.17
PRD-0063,Trina Monocristallin 202,Panneaux Solaires,Monocristallin,Trina,256.87,336.35
PRD-0064,JA Solar Monocristallin 457,Panneaux Solaires,Monocristallin,JA Solar,169.77,213.95
PRD-0065,Jinko Monocristallin 953,Panneaux Solaires,Monocristallin,Jinko,209.79,260.86
PRD-0066,Canadian Solar Bifacial 769,Panneaux Solaires,Bifacial,Canadian Solar,240.55,333.5
PRD-0067,LONGi Bifacial 779,Panneaux Solaires,Bifacial,LONGi,267.86,350.36
PRD-0068,Jinko Monocristallin 860,Panneaux Solaires,Monocristallin,Jinko,167.65,229.34
PRD-0069,Jinko Bifacial 834,Panneaux Solaires,Bifacial,Jinko,175.98,231.7
PRD-0070,Jinko Polycristallin 617,Panneaux Solaires,Polycristallin,Jinko,261.74,356.25
PRD-0071,Canadian Solar Polycristallin 194,Panneaux Solaires,Polycristallin,Canadian Solar,310.04,421.6
PRD-0072,Trina Bifacial 441,Panneaux Solaires,Bifacial,Trina,325.26,398.8
PRD-0073,Canadian Solar Monocristallin 822,Panneaux Solaires,Monocristallin,Canadian Solar,153.98,198.47
PRD-0074,JA Solar Polycristallin 807,Panneaux Solaires,Polycristallin,JA Solar,124.23,152.9
PRD-0075,JA Solar Monocristallin 665,Panneaux Solaires,Monocristallin,JA Solar,125.93,160.81
PRD-0076,Trina Monocristallin 915,Panneaux Solaires,Monocristallin,Trina,148.55,188.23
PRD-0077,Canadian Solar Monocristallin 205,Panneaux Solaires,Monocristallin,Canadian Solar,169.36,213.02
PRD-0078,JA Solar Polycristallin 735,Panneaux Solaires,Polycristallin,JA Solar,323.62,415.24
PRD-0079,Jinko Bifacial 266,Panneaux Solaires,Bifacial,Jinko,340.61,427.73
PRD-0080,Trina Monocristallin 440,Panneaux Solaires,Monocristallin,Trina,117.5,157.44
PRD-0081,Jinko Polycristallin 210,Panneaux Solaires,Polycristallin,Jinko,170.52,230.04
PRD-0082,LONGi Polycristallin 936,Panneaux Solaires,Polycristallin,LONGi,325.15,407.58
PRD-0083,Canadian Solar Polycristallin 333,Panneaux Solaires,Polycristallin,Canadian Solar,178.87,241.56
PRD-0084,LONGi Monocristallin 385,Panneaux Solaires,Monocristallin,LONGi,271.5,348.01
PRD-0085,Canadian Solar Monocristallin 795,Panneaux Solaires,Monocristallin,Canadian Solar,196.37,255.34
PRD-0086,Canadian Solar Bifacial 367,Panneaux Solaires,Bifacial,Canadian Solar,349.07,431.77
PRD-0087,JA Solar Monocristallin 211,Panneaux Solaires,Monocristallin,JA Solar,348.14,438.76
PRD-0088,Trina Bifacial 546,Panneaux Solaires,Bifacial,Trina,188.09,253.71
PRD-0089,JA Solar Bifacial 294,Panneaux Solaires,Bifacial,JA Solar,134.83,184.69
PRD-0090,LONGi Polycristallin 925,Panneaux Solaires,Polycristallin,LONGi,297.3,362.64
PRD-0091,Jinko Bifacial 780,Panneaux Solaires,Bifacial,Jinko,210.79,259.27
PRD-0092,JA Solar Polycristallin 837,Panneaux Solaires,Polycristallin,JA Solar,179.51,244.17
PRD-0093,JA Solar Polycristallin 512,Panneaux Solaires,Polycristallin,JA Solar,189.17,242.79
PRD-0094,Canadian Solar Bifacial 780,Panneaux Solaires,Bifacial,Canadian Solar,253.31,316.32
PRD-0095,Jinko Polycristallin 661,Panneaux Solaires,Polycristallin,Jinko,264.34,334.65
PRD-0096,Canadian Solar Monocristallin 693,Panneaux Solaires,Monocristallin,Canadian Solar,183.43,236.07
PRD-0097,Canadian Solar Bifacial 318,Panneaux Solaires,Bifacial,Canadian Solar,224.59,289.5
PRD-0098,Trina Bifacial 853,Panneaux Solaires,Bifacial,Trina,281.01,388.12
PRD-0099,LONGi Monocristallin 734,Panneaux Solaires,Monocristallin,LONGi,177.2,235.14
PRD-0100,LONGi Polycristallin 788,Panneaux Solaires,Polycristallin,LONGi,294.62,395.53
PRD-0101,Jinko Polycristallin 147,Panneaux Solaires,Polycristallin,Jinko,315.64,391.97
PRD-0102,Trina Monocristallin 566,Panneaux Solaires,Monocristallin,Trina,247.75,333.38
PRD-0103,JA Solar Polycristallin 606,Panneaux Solaires,Polycristallin,JA Solar,156.32,208.33
PRD-0104,Jinko Polycristallin 868,Panneaux Solaires,Polycristallin,Jinko,145.94,194.27
PRD-0105,Trina Monocristallin 812,Panneaux Solaires,Monocristallin,Trina,159.49,215.65
PRD-0106,Trina Bifacial 968,Panneaux Solaires,Bifacial,Trina,131.24,165.07
PRD-0107,Trina Monocristallin 643,Panneaux Solaires,Monocristallin,Trina,146.97,190.0
PRD-0108,JA Solar Bifacial 553,Panneaux Solaires,Bifacial,JA Solar,182.54,245.19
PRD-0109,JA Solar Bifacial 556,Panneaux Solaires,Bifacial,JA Solar,202.76,278.02
PRD-0110,Trina Monocristallin 960,Panneaux Solaires,Monocristallin,Trina,212.29,285.02
PRD-0111,Canadian Solar Bifacial 741,Panneaux Solaires,Bifacial,Canadian Solar,291.59,379.74
PRD-0112,Canadian Solar Monocristallin 340,Panneaux Solaires,Monocristallin,Canadian Solar,211.09,281.96
PRD-0113,Canadian Solar Polycristallin 241,Panneaux Solaires,Polycristallin,Canadian Solar,188.36,245.91
PRD-0114,Jinko Monocristallin 319,Panneaux Solaires,Monocristallin,Jinko,213.18,264.91
PRD-0115,Trina Monocristallin 525,Panneaux Solaires,Monocristallin,Trina,208.5,272.28
PRD-0116,Jinko Monocristallin 888,Panneaux Solaires,Monocristallin,Jinko,312.32,399.87
PRD-0117,LONGi Bifacial 489,Panneaux Solaires,Bifacial,LONGi,302.6,407.02
PRD-0118,LONGi Polycristallin 499,Panneaux Solaires,Polycristallin,LONGi,341.99,432.82
PRD-0119,JA Solar Polycristallin 717,Panneaux Solaires,Polycristallin,JA Solar,286.45,374.25
PRD-0120,Trina Monocristallin 129,Panneaux Solaires,Monocristallin,Trina,167.57,215.83
PRD-0121,Canadian Solar Polycristallin 841,Panneaux Solaires,Polycristallin,Canadian Solar,259.55,350.66
PRD-0122,Trina Monocristallin 646,Panneaux Solaires,Monocristallin,Trina,307.44,425.86
PRD-0123,Trina Monocristallin 185,Panneaux Solaires,Monocristallin,Trina,246.89,327.57
PRD-0124,Trina Bifacial 151,Panneaux Solaires,Bifacial,Trina,147.58,190.71
PRD-0125,Trina Polycristallin 445,Panneaux Solaires,Polycristallin,Trina,192.25,248.21
PRD-0126,Canadian Solar Polycristallin 358,Panneaux Solaires,Polycristallin,Canadian Solar,276.74,375.6
PRD-0127,Trina Monocristallin 458,Panneaux Solaires,Monocristallin,Trina,119.36,155.81
PRD-0128,LONGi Monocristallin 872,Panneaux Solaires,Monocristallin,LONGi,290.13,384.37
PRD-0129,Jinko Monocristallin 256,Panneaux Solaires,Monocristallin,Jinko,171.62,209.81
PRD-0130,Jinko Monocristallin 323,Panneaux Solaires,Monocristallin,Jinko,236.16,292.07
PRD-0131,Canadian Solar Polycristallin 721,Panneaux Solaires,Polycristallin,Canadian Solar,305.28,380.07
PRD-0132,LONGi Bifacial 418,Panneaux Solaires,Bifacial,LONGi,308.06,383.34
PRD-0133,JA Solar Monocristallin 793,Panneaux Solaires,Monocristallin,JA Solar,124.39,157.7
PRD-0134,Trina Polycristallin 706,Panneaux Solaires,Polycristallin,Trina,346.02,432.44
PRD-0135,Jinko Bifacial 970,Panneaux Solaires,Bifacial,Jinko,134.12,180.57
PRD-0136,JA Solar Bifacial 679,Panneaux Solaires,Bifacial,JA Solar,289.98,391.66
PRD-0137,Canadian Solar Monocristallin 170,Panneaux Solaires,Monocristallin,Canadian Solar,233.56,309.82
PRD-0138,Canadian Solar Bifacial 601,Panneaux Solaires,Bifacial,Canadian Solar,119.66,153.8
PRD-0139,Trina Monocristallin 948,Panneaux Solaires,Monocristallin,Trina,331.5,438.24
PRD-0140,Jinko Polycristallin 766,Panneaux Solaires,Polycristallin,Jinko,209.54,280.65
PRD-0141,JA Solar Polycristallin 595,Panneaux Solaires,Polycristallin,JA Solar,300.7,392.46
PRD-0142,Trina Polycristallin 430,Panneaux Solaires,Polycristallin,Trina,302.57,397.72
PRD-0143,LONGi Monocristallin 868,Panneaux Solaires,Monocristallin,LONGi,181.08,233.68
PRD-0144,JA Solar Polycristallin 129,Panneaux Solaires,Polycristallin,JA Solar,260.52,333.1
PRD-0145,Canadian Solar Polycristallin 916,Panneaux Solaires,Polycristallin,Canadian Solar,163.39,204.55
PRD-0146,Canadian Solar Polycristallin 382,Panneaux Solaires,Polycristallin,Canadian Solar,177.85,233.9
PRD-0147,LONGi Bifacial 347,Panneaux Solaires,Bifacial,LONGi,244.26,304.99
PRD-0148,Trina Bifacial 807,Panneaux Solaires,Bifacial,Trina,220.7,296.57
PRD-0149,Trina Polycristallin 401,Panneaux Solaires,Polycristallin,Trina,232.76,284.45
PRD-0150,Trina Monocristallin 695,Panneaux Solaires,Monocristallin,Trina,282.23,357.54
PRD-0151,Trina Polycristallin 863,Panneaux Solaires,Polycristallin,Trina,248.29,316.04
PRD-0152,Canadian Solar Bifacial 413,Panneaux Solaires,Bifacial,Canadian Solar,197.95,255.54
PRD-0153,Jinko Polycristallin 222,Panneaux Solaires,Polycristallin,Jinko,149.1,186.2
PRD-0154,JA Solar Bifacial 296,Panneaux Solaires,Bifacial,JA Solar,326.87,435.26
PRD-0155,Trina Monocristallin 878,Panneaux Solaires,Monocristallin,Trina,177.28,232.95
PRD-0156,JA Solar Bifacial 298,Panneaux Solaires,Bifacial,JA Solar,190.26,234.9
PRD-0157,Jinko Polycristallin 825,Panneaux Solaires,Polycristallin,Jinko,203.97,258.26
PRD-0158,Jinko Bifacial 666,Panneaux Solaires,Bifacial,Jinko,167.85,232.29
PRD-0159,Jinko Polycristallin 205,Panneaux Solaires,Polycristallin,Jinko,254.22,341.36
PRD-0160,JA Solar Monocristallin 448,Panneaux Solaires,Monocristallin,JA Solar,181.68,235.3
PRD-0161,LONGi Monocristallin 216,Panneaux Solaires,Monocristallin,LONGi,165.65,225.74
PRD-0162,Trina Monocristallin 802,Panneaux Solaires,Monocristallin,Trina,226.8,297.52
PRD-0163,Jinko Monocristallin 411,Panneaux Solaires,Monocristallin,Jinko,148.74,194.76
PRD-0164,Jinko Monocristallin 720,Panneaux Solaires,Monocristallin,Jinko,137.96,185.54
PRD-0165,JA Solar Bifacial 561,Panneaux Solaires,Bifacial,JA Solar,167.15,217.71
PRD-0166,Canadian Solar Polycristallin 412,Panneaux Solaires,Polycristallin,Canadian Solar,294.2,408.05
PRD-0167,JA Solar Bifacial 201,Panneaux Solaires,Bifacial,JA Solar,121.68,168.07
PRD-0168,Jinko Monocristallin 345,Panneaux Solaires,Monocristallin,Jinko,186.24,229.39
PRD-0169,JA Solar Monocristallin 561,Panneaux Solaires,Monocristallin,JA Solar,141.42,172.52
PRD-0170,JA Solar Bifacial 395,Panneaux Solaires,Bifacial,JA Solar,237.65,290.97
PRD-0171,Canadian Solar Bifacial 803,Panneaux Solaires,Bifacial,Canadian Solar,279.55,360.9
PRD-0172,Canadian Solar Monocristallin 777,Panneaux Solaires,Monocristallin,Canadian Solar,292.66,386.35
PRD-0173,Trina Monocristallin 252,Panneaux Solaires,Monocristallin,Trina,147.09,184.43
PRD-0174,Jinko Polycristallin 414,Panneaux Solaires,Polycristallin,Jinko,137.72,171.42
PRD-0175,JA Solar Bifacial 579,Panneaux Solaires,Bifacial,JA Solar,330.89,426.36
PRD-0176,Canadian Solar Bifacial 612,Panneaux Solaires,Bifacial,Canadian Solar,261.21,359.92
PRD-0177,Trina Bifacial 542,Panneaux Solaires,Bifacial,Trina,213.87,281.33
PRD-0178,Canadian Solar Bifacial 334,Panneaux Solaires,Bifacial,Canadian Solar,270.65,331.11
PRD-0179,JA Solar Bifacial 883,Panneaux Solaires,Bifacial,JA Solar,266.76,326.14
PRD-0180,Canadian Solar Bifacial 279,Panneaux Solaires,Bifacial,Canadian Solar,240.11,322.87
PRD-0181,GoodWe Central 285,Onduleurs,Central,GoodWe,2047.12,2384.83
PRD-0182,Enphase Central 518,Onduleurs,Central,Enphase,3071.08,3400.98
PRD-0183,Fronius Hybride 437,Onduleurs,Hybride,Fronius,2112.54,2444.43
PRD-0184,Enphase Central 933,Onduleurs,Central,Enphase,1045.65,1222.3
PRD-0185,Enphase String 218,Onduleurs,String,Enphase,538.02,581.79
PRD-0186,GoodWe Central 990,Onduleurs,Central,GoodWe,2792.44,2939.77
PRD-0187,Enphase Central 737,Onduleurs,Central,Enphase,425.23,473.45
PRD-0188,Enphase Central 662,Onduleurs,Central,Enphase,2539.76,2731.97
PRD-0189,Fronius Micro 224,Onduleurs,Micro,Fronius,1498.03,1701.97
PRD-0190,GoodWe String 418,Onduleurs,String,GoodWe,2512.07,2857.8
PRD-0191,GoodWe String 961,Onduleurs,String,GoodWe,1489.21,1605.57
PRD-0192,Enphase String 257,Onduleurs,String,Enphase,2948.33,3330.59
PRD-0193,Fronius Central 954,Onduleurs,Central,Fronius,1779.24,1928.39
PRD-0194,Enphase Central 492,Onduleurs,Central,Enphase,966.41,1079.94
PRD-0195,GoodWe Micro 984,Onduleurs,Micro,GoodWe,1660.66,1926.37
PRD-0196,Fronius String 448,Onduleurs,String,Fronius,2397.04,2772.56
PRD-0197,Huawei Hybride 701,Onduleurs,Hybride,Huawei,1108.85,1205.08
PRD-0198,SMA Central 440,Onduleurs,Central,SMA,1558.76,1728.95
PRD-0199,Enphase Central 814,Onduleurs,Central,Enphase,2835.2,3285.13
PRD-0200,GoodWe Micro 520,Onduleurs,Micro,GoodWe,1318.65,1525.51
PRD-0201,Fronius String 930,Onduleurs,String,Fronius,2359.69,2683.06
PRD-0202,Enphase Central 767,Onduleurs,Central,Enphase,3015.37,3462.92
PRD-0203,Enphase Micro 704,Onduleurs,Micro,Enphase,3175.3,3387.44
PRD-0204,Huawei Hybride 638,Onduleurs,Hybride,Huawei,2806.16,3097.41
PRD-0205,Huawei Central 770,Onduleurs,Central,Huawei,2374.15,2611.82
PRD-0206,Huawei Micro 446,Onduleurs,Micro,Huawei,1537.57,1802.37
PRD-0207,Huawei Central 979,Onduleurs,Central,Huawei,2616.48,3025.65
PRD-0208,Fronius Central 599,Onduleurs,Central,Fronius,1985.85,2305.76
PRD-0209,GoodWe String 394,Onduleurs,String,GoodWe,460.25,518.95
PRD-0210,Huawei Micro 748,Onduleurs,Micro,Huawei,1587.65,1688.71
PRD-0211,Enphase String 129,Onduleurs,String,Enphase,765.82,832.37
PRD-0212,Fronius String 483,Onduleurs,String,Fronius,2621.74,2847.66
PRD-0213,SMA Central 798,Onduleurs,Central,SMA,982.8,1081.43
PRD-0214,SMA Micro 491,Onduleurs,Micro,SMA,764.78,860.22
PRD-0215,Enphase Micro 572,Onduleurs,Micro,Enphase,3013.9,3221.05
PRD-0216,Enphase Hybride 923,Onduleurs,Hybride,Enphase,1060.15,1117.05
PRD-0217,Fronius Central 552,Onduleurs,Central,Fronius,2305.94,2468.35
PRD-0218,GoodWe Hybride 806,Onduleurs,Hybride,GoodWe,1073.47,1257.29
PRD-0219,Enphase Hybride 493,Onduleurs,Hybride,Enphase,2794.86,3004.97
PRD-0220,Huawei Central 688,Onduleurs,Central,Huawei,945.54,1059.06
PRD-0221,Fronius Hybride 505,Onduleurs,Hybride,Fronius,320.97,370.21
PRD-0222,Huawei Hybride 862,Onduleurs,Hybride,Huawei,1860.65,2110.97
PRD-0223,GoodWe String 393,Onduleurs,String,GoodWe,2326.74,2684.55
PRD-0224,GoodWe Micro 294,Onduleurs,Micro,GoodWe,2660.1,2866.18
PRD-0225,SMA Hybride 761,Onduleurs,Hybride,SMA,1986.15,2310.39
PRD-0226,Fronius String 473,Onduleurs,String,Fronius,2672.95,2823.55
PRD-0227,Huawei Micro 525,Onduleurs,Micro,Huawei,2945.37,3210.81
PRD-0228,SMA Micro 474,Onduleurs,Micro,SMA,647.77,722.91
PRD-0229,SMA Hybride 593,Onduleurs,Hybride,SMA,973.63,1122.3
PRD-0230,Fronius Hybride 177,Onduleurs,Hybride,Fronius,2595.29,2873.54
PRD-0231,SMA Micro 506,Onduleurs,Micro,SMA,2678.76,3052.45
PRD-0232,Huawei Hybride 649,Onduleurs,Hybride,Huawei,2684.73,2830.18
PRD-0233,Enphase String 368,Onduleurs,String,Enphase,1294.68,1479.47
PRD-0234,Fronius Central 125,Onduleurs,Central,Fronius,599.25,646.71
PRD-0235,GoodWe Hybride 943,Onduleurs,Hybride,GoodWe,951.59,1008.38
PRD-0236,Fronius Central 146,Onduleurs,Central,Fronius,2230.95,2377.57
PRD-0237,Fronius String 340,Onduleurs,String,Fronius,3272.13,3486.97
PRD-0238,Enphase Micro 860,Onduleurs,Micro,Enphase,1546.63,1751.66
PRD-0239,GoodWe Central 524,Onduleurs,Central,GoodWe,2500.16,2675.26
PRD-0240,Enphase String 386,Onduleurs,String,Enphase,1943.41,2270.09
PRD-0241,Fronius String 341,Onduleurs,String,Fronius,901.24,995.26
PRD-0242,Huawei Hybride 760,Onduleurs,Hybride,Huawei,3140.7,3438.97
PRD-0243,Huawei Hybride 225,Onduleurs,Hybride,Huawei,1465.47,1574.05
PRD-0244,Huawei Central 711,Onduleurs,Central,Huawei,2144.47,2420.86
PRD-0245,Huawei String 228,Onduleurs,String,Huawei,2608.22,2817.74
PRD-0246,Huawei Micro 700,Onduleurs,Micro,Huawei,2643.86,2955.42
PRD-0247,SMA Micro 710,Onduleurs,Micro,SMA,1263.88,1351.39
PRD-0248,Fronius String 233,Onduleurs,String,Fronius,2850.47,3046.9
PRD-0249,SMA Hybride 234,Onduleurs,Hybride,SMA,562.7,651.76
PRD-0250,Fronius String 431,Onduleurs,String,Fronius,2619.27,2827.95
PRD-0251,SMA String 531,Onduleurs,String,SMA,1077.15,1149.18
PRD-0252,Huawei String 625,Onduleurs,String,Huawei,1590.88,1823.99
PRD-0253,Enphase String 144,Onduleurs,String,Enphase,1635.88,1912.28
PRD-0254,Enphase Hybride 590,Onduleurs,Hybride,Enphase,2233.41,2358.69
PRD-0255,Enphase Central 554,Onduleurs,Central,Enphase,2248.39,2495.51
PRD-0256,Huawei String 229,Onduleurs,String,Huawei,1244.48,1330.76
PRD-0257,GoodWe Hybride 432,Onduleurs,Hybride,GoodWe,2082.02,2325.85
PRD-0258,GoodWe Central 719,Onduleurs,Central,GoodWe,1807.25,1997.78
PRD-0259,Huawei Central 770,Onduleurs,Central,Huawei,2663.54,2837.91
PRD-0260,Enphase Micro 447,Onduleurs,Micro,Enphase,1617.86,1744.98
PRD-0261,Enphase Central 537,Onduleurs,Central,Enphase,1534.1,1631.17
PRD-0262,Fronius Hybride 585,Onduleurs,Hybride,Fronius,1400.01,1497.76
PRD-0263,Huawei String 198,Onduleurs,String,Huawei,2785.97,2961.67
PRD-0264,SMA Hybride 675,Onduleurs,Hybride,SMA,1854.36,2080.39
PRD-0265,Huawei Hybride 868,Onduleurs,Hybride,Huawei,1392.81,1614.59
PRD-0266,Huawei Central 460,Onduleurs,Central,Huawei,3024.86,3398.88
PRD-0267,GoodWe String 593,Onduleurs,String,GoodWe,1797.77,1923.72
PRD-0268,Huawei Micro 217,Onduleurs,Micro,Huawei,1270.33,1420.36
PRD-0269,GoodWe Hybride 674,Onduleurs,Hybride,GoodWe,928.6,1023.71
PRD-0270,GoodWe String 373,Onduleurs,String,GoodWe,2837.93,3273.07
PRD-0271,SMA String 447,Onduleurs,String,SMA,1026.2,1174.47
PRD-0272,Huawei Hybride 773,Onduleurs,Hybride,Huawei,823.86,880.5
PRD-0273,Huawei Central 131,Onduleurs,Central,Huawei,668.56,754.0
PRD-0274,GoodWe String 449,Onduleurs,String,GoodWe,897.51,988.43
PRD-0275,Fronius Micro 681,Onduleurs,Micro,Fronius,1190.3,1297.24
PRD-0276,Huawei String 150,Onduleurs,String,Huawei,697.77,797.86
PRD-0277,Fronius String 721,Onduleurs,String,Fronius,1559.22,1717.96
PRD-0278,Enphase Central 216,Onduleurs,Central,Enphase,1026.78,1174.13
PRD-0279,Enphase Hybride 707,Onduleurs,Hybride,Enphase,577.69,654.85
PRD-0280,GoodWe Central 504,Onduleurs,Central,GoodWe,2302.02,2434.82
PRD-0281,Huawei String 885,Onduleurs,String,Huawei,816.24,954.15
PRD-0282,Fronius Micro 609,Onduleurs,Micro,Fronius,1150.21,1226.23
PRD-0283,SMA Central 335,Onduleurs,Central,SMA,639.73,713.39
PRD-0284,Huawei Hybride 546,Onduleurs,Hybride,Huawei,1375.55,1570.63
PRD-0285,Enphase String 689,Onduleurs,String,Enphase,2805.34,3247.72
PRD-0286,GoodWe Central 396,Onduleurs,Central,GoodWe,1412.39,1594.15
PRD-0287,Enphase String 920,Onduleurs,String,Enphase,336.49,366.74
PRD-0288,Fronius Central 349,Onduleurs,Central,Fronius,503.77,582.02
PRD-0289,GoodWe Central 991,Onduleurs,Central,GoodWe,1489.93,1581.44
PRD-0290,Fronius Hybride 178,Onduleurs,Hybride,Fronius,879.96,1009.03
PRD-0291,GoodWe String 457,Onduleurs,String,GoodWe,1660.25,1931.85
PRD-0292,SMA Hybride 302,Onduleurs,Hybride,SMA,987.79,1056.06
PRD-0293,GoodWe Micro 177,Onduleurs,Micro,GoodWe,689.81,789.18
PRD-0294,Enphase Micro 693,Onduleurs,Micro,Enphase,1594.81,1784.65
PRD-0295,GoodWe Central 430,Onduleurs,Central,GoodWe,2007.11,2357.57
