CapteurID,Timestamp,Consommation_kWh,Tension_V,Frequence_Hz,FacteurPuissance,Temperature_C,Qualite_Signal
CAP_0001,2025-01-02 00:00:00,90.94,230.31,49.99,0.97,17.4,Moyen
CAP_0001,2025-01-02 01:00:00,274.25,220.84,49.94,0.96,17.6,Excellent
CAP_0001,2025-01-02 02:00:00,82.39,223.95,50.08,0.97,33.5,Faible
CAP_0001,2025-01-02 03:00:00,217.64,234.55,50.0,0.88,21.3,Excellent
CAP_0001,2025-01-02 04:00:00,299.04,224.13,50.06,0.85,17.8,Bon
CAP_0001,2025-01-02 05:00:00,110.34,227.8,49.81,0.96,21.9,Excellent
CAP_0001,2025-01-02 06:00:00,96.95,225.48,50.15,0.94,17.3,Moyen
CAP_0001,2025-01-02 07:00:00,130.21,221.94,50.17,0.9,22.9,Bon
CAP_0001,2025-01-02 08:00:00,286.56,192.78,49.95,0.86,16.9,Faible
CAP_0001,2025-01-02 09:00:00,231.25,228.3,49.88,0.94,23.8,Excellent
CAP_0001,2025-01-02 10:00:00,245.38,237.4,49.96,0.97,15.2,Faible
CAP_0001,2025-01-02 11:00:00,291.04,226.34,49.93,0.95,25.4,Moyen
CAP_0001,2025-01-02 12:00:00,66.1,238.66,49.9,0.96,31.1,Faible
CAP_0001,2025-01-02 13:00:00,153.14,234.31,49.83,0.92,20.3,Excellent
CAP_0001,2025-01-02 14:00:00,462.27,224.78,50.19,0.86,31.2,Excellent
CAP_0001,2025-01-02 15:00:00,55.82,222.65,49.88,0.88,31.7,Moyen
CAP_0001,2025-01-02 16:00:00,255.74,222.92,49.8,0.95,16.1,Moyen
CAP_0001,2025-01-02 17:00:00,172.26,229.77,49.83,0.94,25.6,Moyen
CAP_0001,2025-01-02 18:00:00,131.3,229.98,49.94,0.97,23.1,Moyen
CAP_0001,2025-01-02 19:00:00,261.08,239.68,49.95,0.93,33.9,Bon
CAP_0001,2025-01-02 20:00:00,114.88,238.23,49.82,0.89,23.6,Excellent
CAP_0001,2025-01-02 21:00:00,122.3,233.71,50.17,0.95,27.4,Faible
CAP_0001,2025-01-02 22:00:00,256.09,220.27,50.18,0.87,21.6,Faible
CAP_0001,2025-01-02 23:00:00,129.58,230.31,49.96,0.94,15.0,Faible
CAP_0001,2025-01-03 00:00:00,81.89,227.46,50.06,0.96,24.3,Moyen
CAP_0001,2025-01-03 01:00:00,277.04,226.88,50.05,0.91,22.3,Faible
CAP_0001,2025-01-03 02:00:00,227.68,228.61,49.9,0.96,34.1,Excellent
CAP_0001,2025-01-03 03:00:00,193.2,223.74,49.83,0.87,34.2,Faible
CAP_0001,2025-01-03 04:00:00,192.04,228.52,50.17,0.98,28.6,Excellent
CAP_0001,2025-01-03 05:00:00,282.53,237.86,49.95,0.88,18.5,Faible
CAP_0001,2025-01-03 06:00:00,74.52,236.78,50.1,0.93,16.8,Faible
CAP_0001,2025-01-03 07:00:00,220.55,224.7,50.16,0.87,22.7,Bon
CAP_0001,2025-01-03 08:00:00,119.58,228.38,49.95,0.88,25.0,Bon
CAP_0001,2025-01-03 09:00:00,285.71,225.5,49.92,0.89,30.7,Faible
CAP_0001,2025-01-03 10:00:00,173.77,225.85,50.01,0.89,28.4,Moyen
CAP_0001,2025-01-03 11:00:00,197.28,229.9,50.05,0.89,15.9,Moyen
CAP_0001,2025-01-03 12:00:00,158.53,235.86,49.97,0.96,33.6,Bon
CAP_0001,2025-01-03 13:00:00,204.3,225.91,49.88,0.92,30.6,Moyen
CAP_0001,2025-01-03 14:00:00,258.61,224.76,49.97,0.94,27.3,Moyen
CAP_0001,2025-01-03 15:00:00,266.65,224.8,49.87,0.88,33.7,Faible
CAP_0001,2025-01-03 16:00:00,192.63,235.85,50.02,0.87,16.1,Bon
CAP_0001,2025-01-03 17:00:00,220.08,231.12,50.09,0.96,16.2,Bon
CAP_0001,2025-01-03 18:00:00,168.02,226.63,50.05,0.91,29.3,Moyen
CAP_0001,2025-01-03 19:00:00,67.28,236.22,49.88,0.96,30.3,Bon
CAP_0001,2025-01-03 20:00:00,272.87,232.88,50.19,0.89,20.0,Bon
CAP_0001,2025-01-03 21:00:00,60.66,235.01,49.8,0.88,16.2,Moyen
CAP_0001,2025-01-03 22:00:00,177.06,238.51,50.0,0.95,31.0,Faible
CAP_0001,2025-01-03 23:00:00,179.94,238.36,50.07,0.96,17.6,Faible
CAP_0002,2025-01-01 00:00:00,272.36,237.94,49.84,0.96,18.7,Moyen
CAP_0002,2025-01-01 01:00:00,193.57,222.61,50.08,0.88,25.7,Bon
CAP_0002,2025-01-01 02:00:00,177.24,225.2,49.87,0.93,28.2,Excellent
CAP_0002,2025-01-01 03:00:00,50.87,223.43,49.88,0.95,21.2,Faible
CAP_0002,2025-01-01 04:00:00,113.36,226.39,49.81,0.86,22.4,Bon
CAP_0002,2025-01-01 05:00:00,73.57,236.97,50.16,0.88,20.9,Excellent
CAP_0002,2025-01-01 06:00:00,185.01,223.81,49.91,0.97,21.8,Moyen
CAP_0002,2025-01-01 07:00:00,191.07,229.95,50.2,0.86,17.2,Moyen
CAP_0002,2025-01-01 08:00:00,207.91,234.85,49.88,0.87,24.6,Faible
CAP_0002,2025-01-01 09:00:00,263.12,233.88,50.06,0.93,16.1,Excellent
CAP_0002,2025-01-01 10:00:00,213.22,220.23,50.1,0.93,15.8,Faible
CAP_0002,2025-01-01 11:00:00,195.98,236.87,50.03,0.86,18.7,Moyen
CAP_0002,2025-01-01 12:00:00,387.15,227.69,50.19,0.96,26.0,Moyen
CAP_0002,2025-01-01 13:00:00,174.88,238.4,49.88,0.95,24.2,Excellent
CAP_0002,2025-01-01 14:00:00,187.75,222.58,49.92,0.88,25.7,Excellent
CAP_0002,2025-01-01 15:00:00,241.87,237.13,49.98,0.88,19.4,Faible
CAP_0002,2025-01-01 16:00:00,274.31,221.93,49.81,0.93,19.8,Faible
CAP_0002,2025-01-01 17:00:00,132.56,239.86,50.04,0.97,28.3,Bon
CAP_0002,2025-01-01 18:00:00,295.33,232.2,50.2,0.9,25.6,Bon
CAP_0002,2025-01-01 19:00:00,95.13,239.77,50.03,0.88,24.4,Moyen
CAP_0002,2025-01-01 20:00:00,283.61,239.21,49.81,0.93,34.3,Excellent
CAP_0002,2025-01-01 21:00:00,78.23,239.82,49.95,0.93,31.1,Moyen
CAP_0002,2025-01-01 22:00:00,378.77,223.09,50.12,0.93,30.3,Bon
CAP_0002,2025-01-01 23:00:00,106.02,224.97,50.14,0.94,25.4,Faible
CAP_0002,2025-01-02 00:00:00,217.16,230.56,50.16,0.85,29.7,Bon
CAP_0002,2025-01-02 01:00:00,175.53,236.13,49.85,0.9,33.8,Bon
CAP_0002,2025-01-02 02:00:00,175.84,230.52,50.02,0.91,25.4,Moyen
CAP_0002,2025-01-02 03:00:00,193.68,223.94,49.93,0.95,17.0,Excellent
CAP_0002,2025-01-02 04:00:00,89.66,234.65,50.11,0.97,15.4,Bon
CAP_0002,2025-01-02 05:00:00,164.76,224.54,50.1,0.87,33.8,Bon
CAP_0002,2025-01-02 06:00:00,111.01,234.82,49.83,0.9,33.1,Bon
CAP_0002,2025-01-02 07:00:00,205.78,232.52,50.04,0.96,20.5,Excellent
CAP_0002,2025-01-02 08:00:00,61.91,226.08,50.05,0.89,33.2,Bon
CAP_0002,2025-01-02 09:00:00,291.06,237.05,49.94,0.95,32.7,Bon
CAP_0002,2025-01-02 10:00:00,219.64,238.06,50.07,0.95,31.4,Moyen
CAP_0002,2025-01-02 11:00:00,58.94,232.75,49.96,0.93,30.6,Moyen
CAP_0002,2025-01-02 12:00:00,238.04,227.08,50.13,0.97,17.5,Moyen
CAP_0002,2025-01-02 13:00:00,212.07,165.69,50.12,0.87,25.5,Excellent
CAP_0002,2025-01-02 14:00:00,200.34,237.3,49.86,0.88,33.0,Moyen
CAP_0002,2025-01-02 15:00:00,176.18,225.38,50.11,0.86,26.3,Faible
CAP_0002,2025-01-02 16:00:00,159.37,227.83,50.19,0.92,23.6,Excellent
CAP_0002,2025-01-02 17:00:00,110.02,238.95,50.15,0.93,16.6,Excellent
CAP_0002,2025-01-02 18:00:00,147.21,225.53,50.14,0.85,28.7,Moyen
CAP_0002,2025-01-02 19:00:00,70.09,233.1,50.05,0.95,29.1,Moyen
CAP_0002,2025-01-02 20:00:00,93.63,237.2,50.17,0.97,32.6,Excellent
CAP_0002,2025-01-02 21:00:00,258.46,231.13,50.06,0.87,32.4,Faible
CAP_0002,2025-01-02 22:00:00,108.04,238.57,49.9,0.89,30.7,Moyen
CAP_0002,2025-01-02 23:00:00,82.85,234.06,49.98,0.88,31.1,Excellent
CAP_0002,2025-01-03 00:00:00,151.33,231.57,50.16,0.9,16.7,Faible
CAP_0002,2025-01-03 01:00:00,280.62,228.07,49.98,0.97,29.3,Moyen
CAP_0002,2025-01-03 02:00:00,89.36,234.39,50.17,0.88,30.6,Faible
CAP_0002,2025-01-03 03:00:00,248.47,228.91,49.87,0.96,26.2,Excellent
CAP_0002,2025-01-03 04:00:00,233.74,235.17,49.9,0.86,20.6,Moyen
CAP_0002,2025-01-03 05:00:00,295.12,228.4,50.11,0.94,22.2,Bon
CAP_0002,2025-01-03 06:00:00,57.46,234.92,50.08,0.96,17.5,Faible
CAP_0002,2025-01-03 07:00:00,75.88,231.95,50.14,0.89,27.2,Excellent
CAP_0002,2025-01-03 08:00:00,240.59,222.86,49.99,0.97,33.9,Faible
CAP_0002,2025-01-03 09:00:00,95.77,233.92,50.09,0.88,21.0,Moyen
CAP_0002,2025-01-03 10:00:00,147.26,237.61,50.08,0.89,29.7,Moyen
CAP_0002,2025-01-03 11:00:00,227.56,235.64,49.99,0.85,27.8,Moyen
CAP_0002,2025-01-03 12:00:00,120.32,238.68,49.85,0.93,27.4,Bon
CAP_0002,2025-01-03 13:00:00,298.22,220.35,50.01,0.93,32.1,Moyen
CAP_0002,2025-01-03 14:00:00,269.74,223.55,49.83,0.89,22.0,Moyen
CAP_0002,2025-01-03 15:00:00,191.06,225.85,50.12,0.93,22.8,Moyen
CAP_0002,2025-01-03 16:00:00,286.11,227.94,49.86,0.9,20.1,Moyen
CAP_0002,2025-01-03 17:00:00,241.87,226.83,50.14,0.94,27.3,Bon
CAP_0002,2025-01-03 18:00:00,111.72,224.86,50.01,0.89,26.5,Moyen
CAP_0002,2025-01-03 19:00:00,79.19,236.71,50.16,0.93,16.7,Faible
CAP_0002,2025-01-03 20:00:00,139.91,222.28,49.95,0.88,21.1,Moyen
CAP_0002,2025-01-03 21:00:00,153.37,230.13,50.12,0.86,31.6,Moyen
CAP_0002,2025-01-03 22:00:00,89.73,229.85,49.93,0.89,26.1,Moyen
CAP_0002,2025-01-03 23:00:00,96.12,226.29,49.8,0.91,26.2,Excellent
CAP_0003,2025-01-01 00:00:00,53.91,239.75,50.19,0.9,28.2,Bon
CAP_0003,2025-01-01 01:00:00,227.76,239.04,49.92,0.98,26.7,Moyen
CAP_0003,2025-01-01 02:00:00,259.04,239.36,50.07,0.96,21.4,Faible
CAP_0003,2025-01-01 03:00:00,222.34,226.17,49.85,0.9,16.4,Faible
CAP_0003,2025-01-01 04:00:00,93.26,230.19,50.07,0.85,15.7,Bon
CAP_0003,2025-01-01 05:00:00,262.35,230.84,49.97,0.87,20.0,Moyen
CAP_0003,2025-01-01 06:00:00,71.97,229.86,50.1,0.91,16.6,Excellent
CAP_0003,2025-01-01 07:00:00,204.18,234.65,49.88,0.85,16.2,Bon
CAP_0003,2025-01-01 08:00:00,156.53,221.31,50.12,0.96,25.2,Faible
CAP_0003,2025-01-01 09:00:00,92.5,225.74,50.04,0.86,31.6,Bon
CAP_0003,2025-01-01 10:00:00,102.91,203.46,49.96,0.95,19.2,Faible
CAP_0003,2025-01-01 11:00:00,151.76,228.7,49.87,0.86,30.5,Faible
CAP_0003,2025-01-01 12:00:00,230.53,238.78,50.1,0.97,34.5,Bon
CAP_0003,2025-01-01 13:00:00,101.2,220.05,49.92,0.87,17.4,Faible
CAP_0003,2025-01-01 14:00:00,154.19,230.42,50.07,0.86,27.9,Bon
CAP_0003,2025-01-01 15:00:00,279.44,224.1,50.09,0.91,18.9,Excellent
CAP_0003,2025-01-01 16:00:00,249.87,237.17,49.9,0.93,16.7,Bon
CAP_0003,2025-01-01 17:00:00,74.46,222.05,49.84,0.87,31.5,Faible
CAP_0003,2025-01-01 18:00:00,112.87,228.66,49.84,0.91,34.1,Excellent
CAP_0003,2025-01-01 19:00:00,205.45,226.61,50.07,0.92,25.3,Excellent
CAP_0003,2025-01-01 20:00:00,287.8,230.08,49.93,0.97,30.6,Bon
CAP_0003,2025-01-01 21:00:00,74.08,223.97,49.87,0.87,30.3,Faible
CAP_0003,2025-01-01 22:00:00,123.67,238.75,50.09,0.89,30.8,Faible
CAP_0003,2025-01-01 23:00:00,154.76,225.62,50.02,0.86,33.6,Moyen
CAP_0003,2025-01-02 00:00:00,75.28,236.6,49.95,0.9,21.6,Faible
CAP_0003,2025-01-02 01:00:00,275.24,238.85,49.97,0.94,15.9,Excellent
CAP_0003,2025-01-02 02:00:00,178.47,230.75,49.95,0.89,19.4,Excellent
CAP_0003,2025-01-02 03:00:00,141.82,232.85,49.88,0.87,31.5,Bon
CAP_0003,2025-01-02 04:00:00,140.29,225.68,49.93,0.92,15.3,Excellent
CAP_0003,2025-01-02 05:00:00,72.27,232.04,49.98,0.89,25.7,Excellent
CAP_0003,2025-01-02 06:00:00,270.73,239.08,50.06,0.88,23.5,Moyen
CAP_0003,2025-01-02 07:00:00,226.89,229.3,50.06,0.89,32.4,Moyen
CAP_0003,2025-01-02 08:00:00,159.9,231.1,49.87,0.96,17.5,Bon
CAP_0003,2025-01-02 09:00:00,295.78,235.62,49.82,0.9,31.1,Faible
CAP_0003,2025-01-02 10:00:00,253.59,221.91,50.15,0.9,17.0,Moyen
CAP_0003,2025-01-02 11:00:00,295.19,234.69,49.93,0.88,22.5,Faible
CAP_0003,2025-01-02 12:00:00,147.2,228.26,50.18,0.93,17.8,Excellent
CAP_0003,2025-01-02 13:00:00,189.88,238.89,50.0,0.89,18.0,Moyen
CAP_0003,2025-01-02 14:00:00,124.44,221.9,50.09,0.92,33.8,Excellent
CAP_0003,2025-01-02 15:00:00,127.81,225.75,50.16,0.88,27.0,Moyen
CAP_0003,2025-01-02 16:00:00,130.24,220.47,49.85,0.92,28.6,Excellent
CAP_0003,2025-01-02 17:00:00,201.06,227.45,50.19,0.87,28.5,Faible
CAP_0003,2025-01-02 18:00:00,163.17,228.97,49.84,0.88,15.4,Moyen
CAP_0003,2025-01-02 19:00:00,251.93,236.4,49.92,0.92,30.8,Excellent
CAP_0003,2025-01-02 20:00:00,193.06,229.57,50.15,0.94,31.3,Moyen
CAP_0003,2025-01-02 21:00:00,99.4,237.07,49.84,0.94,15.6,Bon
CAP_0003,2025-01-02 22:00:00,156.57,162.99,49.96,0.89,20.6,Bon
CAP_0003,2025-01-02 23:00:00,265.38,235.82,49.84,0.87,17.3,Excellent
CAP_0003,2025-01-03 00:00:00,106.69,234.7,50.11,0.97,22.5,Excellent
CAP_0003,2025-01-03 01:00:00,222.03,236.8,49.97,0.94,23.1,Bon
CAP_0003,2025-01-03 02:00:00,75.13,235.82,50.12,0.91,27.3,Bon
CAP_0003,2025-01-03 03:00:00,280.79,230.88,50.04,0.89,24.9,Excellent
CAP_0003,2025-01-03 04:00:00,54.69,225.79,49.83,0.86,16.1,Excellent
CAP_0003,2025-01-03 05:00:00,296.11,236.0,50.07,0.96,24.9,Bon
CAP_0003,2025-01-03 06:00:00,260.84,230.19,49.91,0.92,22.6,Excellent
CAP_0003,2025-01-03 07:00:00,65.79,235.53,49.98,0.89,17.1,Faible
CAP_0003,2025-01-03 08:00:00,298.79,221.62,49.94,0.92,20.4,Bon
CAP_0003,2025-01-03 09:00:00,149.15,239.65,50.01,0.98,29.8,Moyen
CAP_0003,2025-01-03 10:00:00,253.92,233.54,50.14,0.95,27.3,Excellent
CAP_0003,2025-01-03 11:00:00,192.29,178.19,50.03,0.89,34.8,Bon
CAP_0003,2025-01-03 12:00:00,74.62,228.84,50.19,0.88,15.7,Moyen
CAP_0003,2025-01-03 13:00:00,232.31,235.02,49.97,0.92,24.5,Faible
CAP_0003,2025-01-03 14:00:00,251.3,234.24,50.04,0.88,35.0,Faible
CAP_0003,2025-01-03 15:00:00,198.24,224.67,50.19,0.88,15.7,Faible
CAP_0003,2025-01-03 16:00:00,82.68,220.51,50.04,0.91,25.6,Excellent
CAP_0003,2025-01-03 17:00:00,54.47,234.01,49.91,0.92,25.0,Faible
CAP_0003,2025-01-03 18:00:00,121.85,228.25,50.19,0.95,29.1,Excellent
CAP_0003,2025-01-03 19:00:00,118.32,228.37,50.09,0.91,18.3,Moyen
CAP_0003,2025-01-03 20:00:00,52.49,220.39,49.81,0.94,29.5,Bon
CAP_0003,2025-01-03 21:00:00,174.65,230.24,50.11,0.93,31.3,Moyen
CAP_0003,2025-01-03 22:00:00,186.17,239.92,49.9,0.87,29.6,Faible
CAP_0003,2025-01-03 23:00:00,262.74,228.01,49.88,0.88,17.7,Faible
CAP_0004,2025-01-01 00:00:00,234.51,235.47,49.96,0.85,19.0,Faible
CAP_0004,2025-01-01 01:00:00,123.32,226.29,50.11,0.92,15.8,Excellent
CAP_0004,2025-01-01 02:00:00,74.33,236.92,49.85,0.85,29.5,Excellent
CAP_0004,2025-01-01 03:00:00,128.64,236.9,49.83,0.98,16.2,Excellent
CAP_0004,2025-01-01 04:00:00,254.46,223.21,49.87,0.86,19.6,Bon
CAP_0004,2025-01-01 05:00:00,229.26,234.02,50.08,0.93,33.4,Bon
CAP_0004,2025-01-01 06:00:00,204.06,228.67,50.18,0.87,18.0,Moyen
CAP_0004,2025-01-01 07:00:00,189.42,222.51,50.06,0.87,18.6,Faible
CAP_0004,2025-01-01 08:00:00,122.97,220.52,49.82,0.92,34.3,Faible
CAP_0004,2025-01-01 09:00:00,156.43,225.87,49.8,0.86,19.8,Bon
CAP_0004,2025-01-01 10:00:00,131.21,229.58,50.18,0.9,27.5,Excellent
CAP_0004,2025-01-01 11:00:00,169.03,227.03,49.84,0.98,20.1,Faible
CAP_0004,2025-01-01 12:00:00,177.32,236.53,49.92,0.87,24.2,Faible
CAP_0004,2025-01-01 13:00:00,81.47,224.29,50.08,0.94,34.1,Moyen
CAP_0004,2025-01-01 14:00:00,427.16,228.81,50.04,0.91,21.9,Faible
CAP_0004,2025-01-01 15:00:00,186.16,233.12,50.05,0.97,29.7,Excellent
CAP_0004,2025-01-01 16:00:00,127.57,236.14,49.9,0.93,33.7,Faible
CAP_0004,2025-01-01 17:00:00,230.98,235.82,49.83,0.97,24.7,Moyen
CAP_0004,2025-01-01 18:00:00,134.19,229.36,50.03,0.96,21.7,Moyen
CAP_0004,2025-01-01 19:00:00,263.34,233.38,50.14,0.88,18.2,Faible
CAP_0004,2025-01-01 20:00:00,100.87,235.99,50.08,0.9,26.3,Bon
CAP_0004,2025-01-01 21:00:00,204.6,222.67,50.01,0.94,31.4,Bon
CAP_0004,2025-01-01 22:00:00,285.64,226.13,49.93,0.86,25.5,Bon
CAP_0004,2025-01-01 23:00:00,97.62,223.72,50.19,0.97,27.0,Moyen
CAP_0004,2025-01-02 00:00:00,171.51,239.01,49.83,0.89,21.2,Moyen
CAP_0004,2025-01-02 01:00:00,276.23,225.38,49.97,0.97,16.4,Bon
CAP_0004,2025-01-02 02:00:00,58.91,225.02,50.13,0.89,33.4,Faible
CAP_0004,2025-01-02 03:00:00,179.32,222.08,49.86,0.86,17.6,Moyen
CAP_0004,2025-01-02 04:00:00,184.75,234.73,49.88,0.89,31.8,Moyen
CAP_0004,2025-01-02 05:00:00,228.41,237.02,50.03,0.9,34.1,Excellent
CAP_0004,2025-01-02 06:00:00,169.03,235.2,50.17,0.95,25.0,Bon
CAP_0004,2025-01-02 07:00:00,118.82,225.0,50.09,0.88,22.2,Moyen
CAP_0004,2025-01-02 08:00:00,55.32,234.09,50.11,0.93,22.9,Moyen
CAP_0004,2025-01-02 09:00:00,230.84,230.39,49.96,0.95,20.7,Bon
CAP_0004,2025-01-02 10:00:00,138.5,220.41,50.11,0.92,31.4,Bon
CAP_0004,2025-01-02 11:00:00,56.86,233.58,50.11,0.86,29.7,Faible
CAP_0004,2025-01-02 12:00:00,97.92,227.41,49.86,0.92,21.7,Faible
CAP_0004,2025-01-02 13:00:00,242.63,230.19,50.19,0.86,27.5,Excellent
CAP_0004,2025-01-02 14:00:00,166.38,169.84,49.93,0.92,21.3,Excellent
CAP_0004,2025-01-02 15:00:00,201.65,230.28,49.88,0.92,18.6,Moyen
CAP_0004,2025-01-02 16:00:00,278.51,223.23,49.86,0.87,21.4,Moyen
CAP_0004,2025-01-02 17:00:00,261.44,223.32,49.9,0.88,24.8,Faible
CAP_0004,2025-01-02 18:00:00,145.54,235.74,50.18,0.89,16.8,Moyen
CAP_0004,2025-01-02 19:00:00,295.44,232.68,49.88,0.96,25.4,Excellent
CAP_0004,2025-01-02 20:00:00,177.45,234.53,49.82,0.87,18.6,Moyen
CAP_0004,2025-01-02 21:00:00,238.37,223.93,50.09,0.92,27.5,Bon
CAP_0004,2025-01-02 22:00:00,91.3,230.87,50.07,0.91,33.8,Moyen
CAP_0004,2025-01-02 23:00:00,263.46,229.24,50.07,0.89,19.9,Moyen
CAP_0004,2025-01-03 00:00:00,245.05,220.14,49.8,0.94,15.2,Bon
CAP_0004,2025-01-03 01:00:00,246.18,236.45,49.84,0.88,23.7,Moyen
CAP_0004,2025-01-03 02:00:00,208.03,232.25,50.0,0.9,24.4,Moyen
CAP_0004,2025-01-03 03:00:00,509.77,224.0,49.85,0.95,17.6,Bon
CAP_0004,2025-01-03 04:00:00,211.67,234.76,49.94,0.97,18.7,Bon
CAP_0004,2025-01-03 05:00:00,86.76,233.82,49.97,0.88,32.1,Bon
CAP_0004,2025-01-03 06:00:00,109.69,237.07,50.17,0.97,22.9,Moyen
CAP_0004,2025-01-03 07:00:00,193.04,224.08,49.82,0.87,20.7,Bon
CAP_0004,2025-01-03 08:00:00,186.34,238.47,50.11,0.96,34.2,Bon
CAP_0004,2025-01-03 09:00:00,134.39,222.26,49.97,0.87,23.8,Excellent
CAP_0004,2025-01-03 10:00:00,247.97,235.79,49.96,0.93,21.5,Moyen
CAP_0004,2025-01-03 11:00:00,299.67,236.95,50.0,0.94,22.4,Moyen
CAP_0004,2025-01-03 12:00:00,183.15,239.96,49.89,0.93,30.7,Moyen
CAP_0004,2025-01-03 13:00:00,248.46,226.26,49.86,0.95,33.1,Bon
CAP_0004,2025-01-03 14:00:00,299.84,222.71,49.85,0.86,27.3,Faible
CAP_0004,2025-01-03 15:00:00,138.38,223.17,50.18,0.86,28.3,Moyen
CAP_0004,2025-01-03 16:00:00,187.66,227.23,49.83,0.96,18.7,Excellent
CAP_0004,2025-01-03 17:00:00,235.19,226.77,50.04,0.88,31.7,Moyen
CAP_0004,2025-01-03 18:00:00,169.06,226.5,50.05,0.98,20.4,Faible
CAP_0004,2025-01-03 19:00:00,75.81,232.16,49.97,0.9,29.5,Moyen
CAP_0004,2025-01-03 20:00:00,238.38,223.21,49.98,0.96,33.4,Bon
CAP_0004,2025-01-03 21:00:00,251.36,233.0,49.83,0.91,20.2,Moyen
CAP_0004,2025-01-03 22:00:00,278.22,231.34,49.95,0.87,18.8,Excellent
CAP_0004,2025-01-03 23:00:00,197.9,236.96,49.83,0.89,17.5,Bon
CAP_0005,2025-01-01 00:00:00,135.4,223.41,50.12,0.96,22.7,Faible
CAP_0005,2025-01-01 01:00:00,53.83,228.93,49.89,0.89,23.0,Bon
CAP_0005,2025-01-01 02:00:00,187.03,236.59,50.03,0.94,19.2,Bon
CAP_0005,2025-01-01 03:00:00,180.29,238.79,49.83,0.89,22.0,Bon
CAP_0005,2025-01-01 04:00:00,295.05,239.97,49.82,0.92,21.6,Moyen
CAP_0005,2025-01-01 05:00:00,241.87,236.67,49.97,0.88,18.6,Faible
CAP_0005,2025-01-01 06:00:00,200.87,233.96,49.82,0.86,31.3,Excellent
CAP_0005,2025-01-01 07:00:00,196.85,232.91,49.86,0.92,16.6,Moyen
CAP_0005,2025-01-01 08:00:00,96.88,227.94,49.87,0.96,25.9,Excellent
CAP_0005,2025-01-01 09:00:00,222.8,223.57,50.12,0.93,29.2,Faible
CAP_0005,2025-01-01 10:00:00,189.1,227.49,49.82,0.95,32.5,Moyen
CAP_0005,2025-01-01 11:00:00,244.04,224.93,50.03,0.89,24.5,Excellent
CAP_0005,2025-01-01 12:00:00,126.22,229.96,49.94,0.94,21.1,Excellent
CAP_0005,2025-01-01 13:00:00,268.65,225.71,50.16,0.87,16.6,Faible
CAP_0005,2025-01-01 14:00:00,51.59,229.37,50.14,0.95,35.0,Moyen
CAP_0005,2025-01-01 15:00:00,330.2,224.7,50.0,0.85,27.6,Bon
CAP_0005,2025-01-01 16:00:00,146.22,227.66,49.83,0.95,28.1,Faible
CAP_0005,2025-01-01 17:00:00,211.56,230.25,50.16,0.89,21.4,Excellent
CAP_0005,2025-01-01 18:00:00,271.6,238.05,49.91,0.92,18.8,Excellent
CAP_0005,2025-01-01 19:00:00,142.53,231.61,49.9,0.92,32.9,Excellent
CAP_0005,2025-01-01 20:00:00,206.4,235.55,49.87,0.92,24.9,Faible
CAP_0005,2025-01-01 21:00:00,95.49,237.25,49.94,0.88,32.9,Bon
CAP_0005,2025-01-01 22:00:00,130.73,226.57,49.98,0.88,29.4,Excellent
